"Condition","Performance","k","intercept","se","z_or_t","p_value","significant_at_001"
"Non-stress","Growth",105,0.105,0.013,1.002,0.319,"no"
"Non-stress","Photosynthetic Pigment",96,0.138,0.02,2.884,0.00486,"no"
"Non-stress","Biomass",88,0.374,0.043,0.254,0.8,"no"
"Non-stress","Yield",196,0.134,0.003,0.257,0.797,"no"
"Stress","Growth",160,0.096,0.013,3.547,0.000513,"YES"
"Stress","Photosynthetic Pigment",106,0.233,0.016,3.059,0.00282,"no"
"Stress","Biomass",79,0.316,0.038,-1.246,0.217,"no"
"Stress","Yield",277,0.056,0.005,8.34,3.63e-15,"YES"
